,gene_ids
ABCC11,ENSG00000121270
ACTA2,ENSG00000107796
ACTG2,ENSG00000163017
ADAM9,ENSG00000168615
ADGRE5,ENSG00000123146
ADH1B,ENSG00000196616
ADIPOQ,ENSG00000181092
AGR3,ENSG00000173467
AIF1,ENSG00000204472
AKR1C1,ENSG00000187134
AKR1C3,ENSG00000196139
ALDH1A3,ENSG00000184254
ANGPT2,ENSG00000091879
ANKRD28,ENSG00000206560
ANKRD29,ENSG00000154065
ANKRD30A,ENSG00000148513
APOBEC3A,ENSG00000128383
APOBEC3B,ENSG00000179750
APOC1,ENSG00000130208
AQP1,ENSG00000240583
AQP3,ENSG00000165272
AR,ENSG00000169083
AVPR1A,ENSG00000166148
BACE2,ENSG00000182240
BANK1,ENSG00000153064
BASP1,ENSG00000176788
C15orf48,ENSG00000166920
C1QA,ENSG00000173372
C1QC,ENSG00000159189
C2orf42,ENSG00000115998
C5orf46,ENSG00000178776
C6orf132,ENSG00000188112
CAV1,ENSG00000105974
CAVIN2,ENSG00000168497
CCDC6,ENSG00000108091
CCDC80,ENSG00000091986
CCL5,ENSG00000271503
CCL8,ENSG00000108700
CCND1,ENSG00000110092
CCPG1,ENSG00000260916
CCR7,ENSG00000126353
CD14,ENSG00000170458
CD163,ENSG00000177575
CD19,ENSG00000177455
CD247,ENSG00000198821
CD27,ENSG00000139193
CD274,ENSG00000120217
CD3E,ENSG00000198851
CD3G,ENSG00000160654
CD4,ENSG00000010610
CD68,ENSG00000129226
CD69,ENSG00000110848
CD79A,ENSG00000105369
CD79B,ENSG00000007312
CD80,ENSG00000121594
CD83,ENSG00000112149
CD86,ENSG00000114013
CD8A,ENSG00000153563
CD9,ENSG00000010278
CD93,ENSG00000125810
CDC42EP1,ENSG00000128283
CDH1,ENSG00000039068
CEACAM6,ENSG00000086548
CEACAM8,ENSG00000124469
CENPF,ENSG00000117724
CLEC14A,ENSG00000176435
CLEC9A,ENSG00000197992
CLECL1,ENSG00000184293
CLIC6,ENSG00000159212
CPA3,ENSG00000163751
CRISPLD2,ENSG00000103196
CTH,ENSG00000116761
CTLA4,ENSG00000163599
CTSG,ENSG00000100448
